root_name,val_loss,val_ss_loss,val_wp_loss,val_str_loss,val_thr_loss,val_brk_loss,val_redl_loss,val_stops_loss,train_loss,train_ss_loss,train_wp_loss,train_str_loss,train_thr_loss,train_brk_loss,train_redl_loss,train_stops_loss
leaderboard,0.6317258038699509,0.3731802068283337,0.13229426261582,0.0154903207783205,0.0424892227589042,0.0432052348962667,0.0217794570226876,0.0032870990519928,0.6183342494377908,0.4853473017110366,0.080255837900525,0.0089713934762178,0.0248791786409842,0.0163476568450944,0.0018459122808969,0.0016445822761018
segformer_x13_swint,0.3755240114791506,0.0772618116678659,0.1335535677325921,0.016630375393829,0.0497403455566026,0.0544117594691621,0.0430015955582771,0.0009245562130177,0.1637266995475437,0.0402298927854667,0.0806626784989293,0.0087379054746292,0.0181485635283371,0.0120776084536323,0.0022333121916831,0.0016445822761018
segmenter_x13_x13,0.7424205799735862,0.1179253209393317,0.1728946871415361,0.0213460585637472,0.0723162847387669,0.0718189002316871,0.2851947731755424,0.0009245562130177,0.4638911873580408,0.0623959055865867,0.1378317211717685,0.0166658869274946,0.0536539378605486,0.044039159350022,0.1476599943614322,0.0016445822761018
swint_att_x13,0.9432374190602262,0.0692909395468574,0.2642432437255729,0.0382158752711535,0.1947513008147595,0.0906343617408595,0.285177196417641,0.00092449924336,0.8083695099952974,0.0234254581931369,0.2760954207545273,0.0327317498104782,0.2169564239285442,0.1099838854622751,0.1476608642196799,0.0016445919601323
swint_x13_x13,1.1340144345453598,0.0780096084143513,0.1561031051629972,0.0181256761362,0.0652583225437469,0.5304160264129815,0.285177196417641,0.00092449924336,0.8103014288328965,0.030066537745158,0.1121797845969871,0.0127597525370754,0.0321470014838151,0.4741848123060099,0.1476608641925479,0.0016445919601323
swint_x13_x13_v2,0.363386986446539,0.079791670870881,0.134804970847577,0.019270944778632,0.0490924257006,0.046979665223861,0.032522752688173,0.000924556213018,0.215535558148212,0.031411802149147,0.110916943131072,0.012863353788851,0.030947119923675,0.024257597343321,0.003509300838316,0.001644582276102
swint_x13_x13_v4,0.618916550873461,0.0753621269270954,0.1372316507760656,0.0152463989250704,0.0512383609295582,0.0537186835434873,0.2851947731755424,0.0009245562130177,0.320753249732471,0.029347784134065,0.0933752541463815,0.0113010240509971,0.0221003771104764,0.0153519012001424,0.1476635184664496,0.0016445822761018
swint_x13_x13_v5,0.435000479413303,0.0812062543194145,0.1519518031148398,0.016231032208506,0.0655152311991634,0.0705510172372981,0.0486205853861655,0.0009245562130177,0.163218142900474,0.0272398288388313,0.0901044223011702,0.0107992124510585,0.0187425387493898,0.0129991156369564,0.0017003617353035,0.0016446209148791
swint_x13_x13_v6,0.6010553420225574,0.0779622155654977,0.1295140136345832,0.0152263091144484,0.045271451170423,0.0469620223864038,0.2851947731755424,0.0009245562130177,0.2983775917106668,0.0266448743817295,0.0839747341474757,0.0098161742149856,0.0175373161771269,0.0111267143934765,0.1476635184664496,0.0016445822761018
vit_bb_ss,0.9532058937530192,0.2342756667470144,0.1933366726815041,0.0220018168886367,0.1056694422280911,0.1118029671076169,0.2851947731755424,0.0009245562130177,0.5433585569458554,0.1298323439905214,0.1450171125474872,0.0164726772469665,0.0555752112320244,0.0471566351583072,0.1476599943614322,0.0016445822761018
